teamA,teamB,date,venue,matchTitle
RCB,SRH,2026-03-28,7:30 PM,#RCBvsSRH
MI,KKR,2026-03-29,7:30 PM,#MIvsKKR
RR,CSK,2026-03-30,7:30 PM,#RRvsCSK
PBKS,GT,2026-03-31,7:30 PM,#PBKSvsGT
LSG,DC,2026-04-01,7:30 PM,#LSGvsDC
KKR,SRH,2026-04-02,7:30 PM,#KKRvsSRH
CSK,PBKS,2026-04-03,7:30 PM,#CSKvsPBKS
DC,MI,2026-04-04,3:30 PM,#DCvsMI
GT,RR,2026-04-04,7:30 PM,#GTvsRR
SRH,LSG,2026-04-05,3:30 PM,#SRHvsLSG
RCB,CSK,2026-04-05,7:30 PM,#RCBvsCSK
KKR,PBKS,2026-04-06,7:30 PM,#KKRvsPBKS
RR,MI,2026-04-07,7:30 PM,#RRvsMI
DC,GT,2026-04-08,7:30 PM,#DCvsGT
KKR,LSG,2026-04-09,7:30 PM,#KKRvsLSG
RR,RCB,2026-04-10,7:30 PM,#RRvsRCB
PBKS,SRH,2026-04-11,3:30 PM,#PBKSvsSRH
CSK,DC,2026-04-11,7:30 PM,#CSKvsDC
LSG,GT,2026-04-12,3:30 PM,#LSGvsGT
MI,RCB,2026-04-12,7:30 PM,#MIvsRCB
SRH,RR,2026-04-13,7:30 PM,#SRHvsRR
CSK,KKR,2026-04-14,7:30 PM,#CSKvsKKR
RCB,LSG,2026-04-15,7:30 PM,#RCBvsLSG
MI,PBKS,2026-04-16,7:30 PM,#MIvsPBKS
GT,KKR,2026-04-17,7:30 PM,#GTvsKKR
RCB,DC,2026-04-18,3:30 PM,#RCBvsDC
SRH,CSK,2026-04-18,7:30 PM,#SRHvsCSK
KKR,RR,2026-04-19,3:30 PM,#KKRvsRR
PBKS,LSG,2026-04-19,7:30 PM,#PBKSvsLSG
GT,MI,2026-04-20,7:30 PM,#GTvsMI
SRH,DC,2026-04-21,7:30 PM,#SRHvsDC
LSG,RR,2026-04-22,7:30 PM,#LSGvsRR
MI,CSK,2026-04-23,7:30 PM,#MIvsCSK
RCB,GT,2026-04-24,7:30 PM,#RCBvsGT
DC,PBKS,2026-04-25,3:30 PM,#DCvsPBKS
RR,SRH,2026-04-25,7:30 PM,#RRvsSRH
CSK,GT,2026-04-26,3:30 PM,#CSKvsGT
LSG,KKR,2026-04-26,7:30 PM,#LSGvsKKR
DC,RCB,2026-04-27,7:30 PM,#DCvsRCB
PBKS,RR,2026-04-28,7:30 PM,#PBKSvsRR
MI,SRH,2026-04-29,7:30 PM,#MIvsSRH
GT,RCB,2026-04-30,7:30 PM,#GTvsRCB
RR,DC,2026-05-01,7:30 PM,#RRvsDC
CSK,MI,2026-05-02,7:30 PM,#CSKvsMI
SRH,KKR,2026-05-03,3:30 PM,#SRHvsKKR
GT,PBKS,2026-05-03,7:30 PM,#GTvsPBKS
MI,LSG,2026-05-04,7:30 PM,#MIvsLSG
DC,CSK,2026-05-05,7:30 PM,#DCvsCSK
SRH,PBKS,2026-05-06,7:30 PM,#SRHvsPBKS
LSG,RCB,2026-05-07,7:30 PM,#LSGvsRCB
DC,KKR,2026-05-08,7:30 PM,#DCvsKKR
RR,GT,2026-05-09,7:30 PM,#RRvsGT
CSK,LSG,2026-05-10,3:30 PM,#CSKvsLSG
RCB,MI,2026-05-10,7:30 PM,#RCBvsMI
PBKS,DC,2026-05-11,7:30 PM,#PBKSvsDC
GT,SRH,2026-05-12,7:30 PM,#GTvsSRH
RCB,KKR,2026-05-13,7:30 PM,#RCBvsKKR
PBKS,MI,2026-05-14,7:30 PM,#PBKSvsMI
LSG,CSK,2026-05-15,7:30 PM,#LSGvsCSK
KKR,GT,2026-05-16,7:30 PM,#KKRvsGT
PBKS,RCB,2026-05-17,3:30 PM,#PBKSvsRCB
DC,RR,2026-05-17,7:30 PM,#DCvsRR
CSK,SRH,2026-05-18,7:30 PM,#CSKvsSRH
RR,LSG,2026-05-19,7:30 PM,#RRvsLSG
KKR,MI,2026-05-20,7:30 PM,#KKRvsMI
GT,CSK,2026-05-21,7:30 PM,#GTvsCSK
SRH,RCB,2026-05-22,7:30 PM,#SRHvsRCB
LSG,PBKS,2026-05-23,7:30 PM,#LSGvsPBKS
MI,RR,2026-05-24,3:30 PM,#MIvsRR
KKR,DC,2026-05-24,7:30 PM,#KKRvsDC
